Status,Category,Level,Section Nr,HTML File Name,Section Name,Feature Names,Keywords,Remarks
New,,,,Features_Accessing_table_contents.html,Accessing Table Contents,Accessing table contents
New,,,,Features_accessing_table_info.html,Accessing Table Information,accessing table info
New,,,,Features_reserved_keywords.html,Reserved keywords,reserved keywords,keywords
New,,,,Features_Searching_tables.html,Searching Tables,Searching tables
New,,,,Features_series_functions.html,Series Functions,series functions,series functions
New,,,,Features_parameter_set_search_and_extraction.html,Set Search and Extraction Functions,parameter set search and extraction,"parameter set search functions,parameter set extraction functions"
New,,,,Features_simple_variables.html,Simple Variables,simple variables,"simple variables,simple variable"
New,,,,Features_sleep_and_wait_functions.html,Sleep and Wait Functions,sleep and wait functions
New,,,,Features_Start_or_include_Beyond4P_Programs.html,Start or include Beyond4P Programs,Start or include Beyond4P Programs,"start programs,include programs"
New,,,,Features_starting.html,Starting B4P,starting,"installing,installation,starting,launching"
New,,,,Features_statistics_functions.html,Statistics Functions,statistics functions,statistics functions
New,,,,Features_string_functions.html,String Functions,string functions,"literal functions,string functions"
New,,,,Features_string_search_and_extraction.html,String Search and Extraction Functions,string search and extraction,"string search functions,string extraction functions"
New,,,,Features_structures.html,Structures,structures,"structure,structures"
New,,,,Features_table_functions.html,Table Functions,table functions
New,,,,Features_Table_of_Contents.html,Table of Contents,Table of Contents,Table of Contents
New,,,,Features_time_and_stopwatch_functions.html,Time and Stopwatch Functions,time and stopwatch functions
New,,,,Features_transcendental_functions.html,Transcendental Functions,transcendental functions,transcendental functions
New,,,,Features_Type_Conversion_Functions.html,Type Conversion and Formatting Functions,Type Conversion Functions,type conversion
New,,,,Features_UNICODE_character_set.html,UNICODE Character Set,UNICODE character set,"UNICODE,character set"
New,,,,Features_User_Defined_Procedures_and_Functiions.html,User-Defined Procedures and Functions,User Defined Procedures and Functiions,"User-defined procedures and functions,user-defined procedures,user-defined functions,user procedures,user functions"
New,,,,Features_variables.html,Variables,variables,"variables,base variables,base variable,member variable,member variables"
New,,,,Features_data_types_voids.html,Voids,data types voids,"void,voids"
New,,,,Features_zero_members.html,Zero Members Variables,zero members,zero members
