Status;Category;Level;Section Nr;HTML File Name;Section Name;Feature Names;Keywords;Remarks
Missing;Body;3;B 5.2.2;;numeral;;;
Missing;Body;3;B 5.2.3;;clean (if) numeral;;;
Missing;Body;3;B 5.2.4;;smart (if) numeral;;;
Missing;Body;3;B 5.2.5;;date, pure date, date time;;;
Missing;Body;3;B 5.2.6;;time, pure time;;;
Missing;Body;3;B 5.2.7;;Date and Time Detection Rules;;;
Missing;Body;3;B 5.2.8;;boolean;;;
Missing;Body;3;B 5.2.9;;parameter set;;;
Missing;Body;3;B 5.2.10;;join ...;;;
Missing;Body;3;B 5.2.11;;type, type detailed;;;
OK;Body;2;B 5.3;Features_Mathematics_and_Statistics.html;Mathematics and Statistics;Mathematics and Statistics;mathematics and statistics;
OK;Body;3;B 5.3.1;Features_basic_math_functions.html;Basic Math Functions;basic math functions;basic math functions;
Missing;Body;4;B 5.3.1.1;;is numeric / integer - Functions;;;
Missing;Body;4;B 5.3.1.2;;even, odd, whole;;;
Missing;Body;4;B 5.3.1.3;;abs - Absolute Value;;;
Missing;Body;4;B 5.3.1.4;;round, round up / down;;;
Missing;Body;4;B 5.3.1.5;;mod - Modulo function;;;
Missing;Body;4;B 5.3.1.6;;random - Random Integers;;;
OK;Body;3;B 5.3.2;Features_transcendental_functions.html;Transcendental Functions;transcendental functions;transcendental functions;
Missing;Body;4;B 5.3.2.1;;sqrt - Square Root;;;
Missing;Body;4;B 5.3.2.2;;pow - Power Function;;;
Missing;Body;4;B 5.3.2.3;;Exponential Functions;;;
Missing;Body;4;B 5.3.2.4;;Logarithmic Functions;;;
Missing;Body;4;B 5.3.2.5;;Trigonometric Functions;;;
Missing;Body;4;B 5.3.2.6;;Hyperbolic Functions;;;
OK;Body;3;B 5.3.3;Features_series_functions.html;Series Functions;series functions;series functions;
Missing;Body;4;B 5.3.3.1;;Arithmetic and Boolean Series Functions;;;
Missing;Body;4;B 5.3.3.2;;min, max Functions;;;
Missing;Body;4;B 5.3.3.3;;min, max Functions on Literals;;;
Missing;Body;4;B 5.3.3.4;;min, max Functions on Numerals;;;
Missing;Body;4;B 5.3.3.5;;count Functions;;;
OK;Body;3;B 5.3.4;Features_matrix_functions.html;Matrix Functions;matrix functions;matrix functions;
Missing;Body;4;B 5.3.4.1;;minv - Matrix Inversion;;;
Missing;Body;4;B 5.3.4.2;;mdet - Matrix Determinant;;;
Missing;Body;4;B 5.3.4.3;;mmul, mmdiv - Multiplication and Division;;;
Missing;Body;4;B 5.3.4.4;;linear - Solve Linear Equations;;;
OK;Body;3;B 5.3.5;Features_statistics_functions.html;Statistics Functions;statistics functions;statistics functions;
Missing;Body;4;B 5.3.5.1;;Basic Statistics Functions;;;
Missing;Body;4;B 5.3.5.2;;covariance, correlation;;;
Missing;Body;4;B 5.3.5.3;;gini Coefficient Functions;;;
Missing;Body;4;B 5.3.5.4;;Linear and Exponential Regression;;;
Missing;Body;4;B 5.3.5.5;;Interpolation Functions;;;
Missing;Body;5;B 5.3.5.5.1;;Interpolation Examples Visualized;;;
Missing;Body;3;B 5.3.6;;Conditional Combination Functions;;;
OK;Body;3;B 5.3.7;Features_finance_functions.html;Finance and Business Functions;finance functions;finance functions,business functions;
Missing;Body;4;B 5.3.7.1;;cagr - Compond Annual Growth Rate;;;
Missing;Body;4;B 5.3.7.2;;irr - Internal Rate of Return;;;
Missing;Body;4;B 5.3.7.3;;tv - Terminal Value;;;
Missing;Body;4;B 5.3.7.4;;discount - Discount Values;;;
Missing;Body;4;B 5.3.7.5;;distribute - Value Distribution over Timeline;;;
OK;Body;2;B 5.4;Features_string_functions.html;String Functions;string functions;literal functions,string functions;
OK;Body;3;B 5.4.1;Features_string_search_and_extraction.html;String Search and Extraction Functions;string search and extraction;string search functions,string extraction functions;
Missing;Body;4;B 5.4.1.1;;length ... (string function);;;
Missing;Body;4;B 5.4.1.2;;find ... (string function);;;
Missing;Body;4;B 5.4.1.3;;left ... (string function);;;
Missing;Body;4;B 5.4.1.4;;right ... (string function);;;
Missing;Body;4;B 5.4.1.5;;middle ... (string function);;;
Missing;Body;4;B 5.4.1.6;;outside ... (string function);;;
Missing;Body;4;B 5.4.1.7;;trim ... (string function);;;
Missing;Body;4;B 5.4.1.8;;replace, replace all;;;
Missing;Body;4;B 5.4.1.9;;substitute, substitute all;;;
Missing;Body;4;B 5.4.1.10;;get differences;;;
Missing;Body;4;B 5.4.1.11;;locate differences;;;
OK;Body;3;B 5.4.2;Features_character_coding.html;Character Encoding and Decoding;character coding;;
Missing;Body;4;B 5.4.2.1;;chr;;;
Missing;Body;4;B 5.4.2.2;;code;;;
Missing;Body;4;B 5.4.2.3;;decode entities;;;
Missing;Body;4;B 5.4.2.4;;encode entities;;;
OK;Body;2;B 5.5;Features_date_and_time_functions.html;Date and Time Functions;date and time functions;;
OK;Body;3;B 5.5.1;Features_date_functions.html;Date Functions;date functions;;
Missing;Body;4;B 5.5.1.1;;date inside, time inside;;;
Missing;Body;4;B 5.5.1.2;;year, quarter, month, day;;;
Missing;Body;4;B 5.5.1.3;;day of year;;;
Missing;Body;4;B 5.5.1.4;;serial date;;;
Missing;Body;4;B 5.5.1.5;;weekday;;;
Missing;Body;4;B 5.5.1.6;;week;;;
Missing;Body;4;B 5.5.1.7;;reschedule;;;
OK;Body;3;B 5.5.2;Features_time_and_stopwatch_functions.html;Time and Stopwatch Functions;time and stopwatch functions;;
Missing;Body;4;B 5.5.2.1;;hour, minute, second;;;
Missing;Body;4;B 5.5.2.2;;Stopwatch Functions;;;
OK;Body;3;B 5.5.3;Features_sleep_and_wait_functions.html;Sleep and Wait Functions;sleep and wait functions;;
Missing;Body;4;B 5.5.3.1;;sleep, sleep countdown;;;
Missing;Body;4;B 5.5.3.2;;sleep until, sleep until countdown;;;
Missing;Body;4;B 5.5.3.3;;wait until, wait until countdown;;;
Missing;Body;4;B 5.5.3.4;;wait, wait countdown;;;
OK;Body;2;B 5.6;Features_parameter_set_functions.html;Parameter Set Functions;parameter set functions;parameter set functions;
OK;Body;3;B 5.6.1;Features_parameter_set_search_and_extraction.html;Set Search and Extraction Functions;parameter set search and extraction;parameter set search functions,parameter set extraction functions;
Missing;Body;4;B 5.6.1.1;;length ... (parameter set function);;;
Missing;Body;4;B 5.6.1.2;;find ... (parameter set function);;;
Missing;Body;4;B 5.6.1.3;;left ... (parameter set function);;;
Missing;Body;4;B 5.6.1.4;;right ... (parameter set function);;;
Missing;Body;4;B 5.6.1.5;;middle ... (parameter set function);;;
Missing;Body;4;B 5.6.1.6;;outside ... (parameter set function);;;
Missing;Body;4;B 5.6.1.7;;trim ... (parameter set function);;;
Missing;Body;4;B 5.6.1.8;;count elements ...;;;
Missing;Body;4;B 5.6.1.9;;subset ...;;;
Missing;Body;4;B 5.6.1.10;;filter ...;;;
OK;Body;3;B 5.6.2;Features_matrix_manipulation_functions.html;Matrix Manipulation Functions;matrix manipulation functions;matrix manipulation functions,matrix manipulations;
Missing;Body;4;B 5.6.2.1;;horizontal;;;
Missing;Body;4;B 5.6.2.2;;vertical;;;
Missing;Body;4;B 5.6.2.3;;flat;;;
Missing;Body;4;B 5.6.2.4;;diagonal;;;
Missing;Body;4;B 5.6.2.5;;transpose;;;
OK;Body;2;B 5.7;Features_table_functions.html;Table Functions;table functions;;
OK;Body;3;B 5.7.1;Features_table_creating_deleting.html;Creating and Deleting Tables;table creating deleting;;
Missing;Body;4;B 5.7.1.1;;table create ...;;;
Missing;Body;4;B 5.7.1.2;;table initialize/append ...;;;
Missing;Body;4;B 5.7.1.3;;table configure;;;
Missing;Body;4;B 5.7.1.4;;table clear ...;;;
Missing;Body;4;B 5.7.1.5;;table delete ...;;;
OK;Body;3;B 5.7.2;Features_accessing_table_info.html;Accessing Table Information;accessing table info;;
Missing;Body;4;B 5.7.2.1;;table existing;;;
Missing;Body;4;B 5.7.2.2;;table length;;;
Missing;Body;4;B 5.7.2.3;;table row width;;;
Missing;Body;4;B 5.7.2.4;;table min/max width;;;
OK;Body;3;B 5.7.3;Features_Accessing_table_contents.html;Accessing Table Contents;Accessing table contents;;
Missing;Body;4;B 5.7.3.1;;row;;;
Missing;Body;4;B 5.7.3.2;;forget memorized table columns;;;
Missing;Body;4;B 5.7.3.3;;table read column selected rows;;;
Missing;Body;4;B 5.7.3.4;;table write column selected rows;;;
OK;Body;3;B 5.7.4;Features_Loading_and_saving_tables.html;Loading and Saving Tables;Loading and saving tables;;
Missing;Body;4;B 5.7.4.1;;table load ...;;;
Missing;Body;4;B 5.7.4.2;;Loading HTML files;;;
Missing;Body;4;B 5.7.4.3;;Loading XML files;;;
Missing;Body;4;B 5.7.4.4;;Loading JSON files;;;
Missing;Body;4;B 5.7.4.5;;table save ...;;;
Missing;Body;4;B 5.7.4.6;;Saving JSON files;;;
OK;Body;3;B 5.7.5;Features_Checking_headers.html;Checking and Processing Headers;Checking headers,Processing headers;;
Missing;Body;4;B 5.7.5.1;;table check header;;;
Missing;Body;4;B 5.7.5.2;;table column number;;;
Missing;Body;4;B 5.7.5.3;;table check headers ...;;;
Missing;Body;4;B 5.7.5.4;;table rename ... headers;;;
Missing;Body;4;B 5.7.5.5;;table correct headers ...;;;
Missing;Body;4;B 5.7.5.6;;table lift ...;;;
OK;Body;3;B 5.7.6;Features_Searching_tables.html;Searching Tables;Searching tables;;
Missing;Body;4;B 5.7.6.1;;table search ...;;;
Missing;Body;4;B 5.7.6.2;;table search row;;;
Missing;Body;4;B 5.7.6.3;;table selected rows;;;
Missing;Body;4;B 5.7.6.4;;table selected columns/headers ...;;;
Missing;Body;4;B 5.7.6.5;;table search header row;;;
OK;Body;3;B 5.7.7;Features_Processing_table_columns.html;Processing Table Columns;Processing table columns;;
Missing;Body;4;B 5.7.7.1;;table copy columns ...;;;
OK;Body;2;B 5.8;Features_directory_and_file_system.html;Directory and File System Functions;directory and file system;short error messages on directories and files;
OK;Body;3;B 5.8.1;Features_basic_directory_and_file_functions.html;Basic Directory and File Functions;basic directory and file functions;;
Missing;Body;4;B 5.8.1.1;;directory existing, file existing;;;
Missing;Body;4;B 5.8.1.2;;read access ..., write access ...;;;
Missing;Body;4;B 5.8.1.3;;working directory;;;
Missing;Body;4;B 5.8.1.4;;starting directory;;;
Missing;Body;4;B 5.8.1.5;;directory size;;;
Missing;Body;4;B 5.8.1.6;;file size;;;
Missing;Body;4;B 5.8.1.7;;disk space ...;;;
OK;Body;3;B 5.8.2;Features_listing_directories_and_files.html;Listing and Searching Directories and Files;listing directories and files;;
Missing;Body;4;B 5.8.2.1;;directory listing ...;;;
Missing;Body;4;B 5.8.2.2;;search files ...;;;
Missing;Body;4;B 5.8.2.3;;count files ...;;;
Missing;Body;4;B 5.8.2.4;;resolve path/directory/file name;;;
OK;Body;3;B 5.8.3;Features_deleting_directories_and_files.html;Manipulating Directories and Files;deleting directories and files;;
Missing;Body;4;B 5.8.3.1;;directory create ...;;;
Missing;Body;4;B 5.8.3.2;;file delete ...;;;
Missing;Body;4;B 5.8.3.3;;file delete multiple/recursive ...;;;
Missing;Body;4;B 5.8.3.4;;directory delete ...;;;
Missing;Body;4;B 5.8.3.5;;directory delete multiple/recursive ...;;;
Missing;Body;4;B 5.8.3.6;;file rename ...;;;
Missing;Body;4;B 5.8.3.7;;directory rename ...;;;
Missing;Body;4;B 5.8.3.8;;file copy ...;;;
Missing;Body;4;B 5.8.3.9;;file copy mulitple/recursive ...;;;
Missing;Body;4;B 5.8.3.10;;file create link ...;;;
Missing;Body;4;B 5.8.3.11;;file download ...;;;
Missing, yet to integrate;;;;;Basic Text Output Functions;;;
Missing, yet to integrate;;;;;Clear screen;;;
Missing, yet to integrate;;;;;Identify variable forms (if structure, array, or simple);;;
Missing, yet to integrate;;;;;Set cursor positions;;;
Missing, yet to integrate;;;;;Set console text and background colors;;;
